numTrees,maxDepth,accuracy,recall,f1_score,precision
10,5,0.4955555555555556,0.4955555555555556,0.39390590287094834,0.3704435751370392
10,6,0.4955555555555556,0.4955555555555556,0.3968018412252546,0.36648340653235134
10,7,0.49111111111111116,0.49111111111111116,0.3935934652068222,0.3586674020558078
10,8,0.5133333333333333,0.5133333333333333,0.4322634203152355,0.445647665990866
10,9,0.5022222222222222,0.5022222222222222,0.42735451260064605,0.4453261023022318
20,5,0.48444444444444446,0.48444444444444446,0.38644283244064503,0.36327681294740116
20,6,0.4933333333333333,0.49333333333333335,0.39544322332346304,0.36998387216648093
20,7,0.5,0.5,0.4105215091223496,0.45268807779784137
20,8,0.4955555555555556,0.4955555555555556,0.40915004416109274,0.40940280989888833
20,9,0.5022222222222222,0.5022222222222222,0.4147525944628195,0.4092878845373528
30,5,0.48888888888888893,0.48888888888888893,0.3895753175249974,0.36453702022473955
30,6,0.49333333333333335,0.49333333333333335,0.3951116833521962,0.36460215477189795
